firstName|lastName|year|yearMonth|time
John|Doe|2020|202001|23:30:03
Amy|Eugene|2020|202001|23:30:03
Laverne|Mann|2020|202001|23:30:03
Janice|Preston|2020|202001|23:30:03
Pauline|Rios|2020|202002|23:30:03
Perry|Burnside|2020|202002|23:30:03
Todd|Kinsey|2020|202002|23:30:03
Jacqueline|Hyde|2020|202003|23:30:03
Rico|Hale|2020|202003|23:30:03
Samuel|Lamm|2020|202004|23:30:03
Robert|Coster|2020|202004|23:30:03
Tamara|Soler|2020|202005|23:30:03
Justin|Kramer|2020|202005|23:30:03
Andrea|Law|2020|202006|23:30:03
Laura|Porter|2020|202006|23:30:03
Michael|Cantu|2020|202007|23:30:03
Andrew|Thomas|2020|202008|23:30:03
Jose|Hannah|2020|202009|23:30:03
Valerie|Hilbert|2020|202010|23:30:03
Patrick|Durham|2020|202012|23:30:03
